service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
A20130803WKD,1,1,1,1,1,0,0,20130803,20141231
A20130803SAT,0,0,0,0,0,1,0,20130803,20141231
A20130803SUN,0,0,0,0,0,0,1,20130803,20141231
B20130803WKD,1,1,1,1,1,0,0,20130803,20141231
B20130803SAT,0,0,0,0,0,1,0,20130803,20141231
B20130803SUN,0,0,0,0,0,0,1,20130803,20141231
R20130803WKD,1,1,1,1,1,0,0,20130803,20141231
R20130803SAT,0,0,0,0,0,1,0,20130803,20141231
R20130803SUN,0,0,0,0,0,0,1,20130803,20141231
S20130803MON,1,0,0,0,0,0,0,20130803,20141231
